Strike,CE_LTP,CE OI,CE Volume,CE Price Change,CE Price % Change,PE_LTP,PE OI,PE Volume,PE Price Change,PE Price % Change,CE IV,PE IV,CE Delta,CE Gamma,CE Theta,CE Decay,CE Vega,PE Delta,PE Gamma,PE Theta,PE Decay,PE Vega,Expiry,Spot,OI PCR,PE/CE Vol Ratio,CE OI Open,PE OI Open,CE OI Change,PE OI Change,CE OI Change %,PE OI Change %,OI PCR Change,Distance,Status,CE_Intrinsic,PE_Intrinsic,CE_TimeValue,PE_TimeValue
25500,0.95,5518175,19346080,-0.7,-42.42,1471.65,114335,5525,-66.55,-4.33,26.7,26.7,0.0463,0.00012,-6.77,-3.88,2.9468,-0.9537,0.00012,-6.77,-1.54,2.9468,07Jul2026,24082.0,0.02,0.0,5137600,113165,380575,1170,7.41,1.03,0.0,1418.0,OTM CE / ITM PE,0.0,1418.0,0.95,53.65
25550,0.95,305305,1659320,-0.7,-42.42,1560.0,0,0,0.0,0.0,30.51,30.51,0.0645,0.000136,-10.06,-5.77,3.8295,-0.9355,0.000136,-10.06,-3.42,3.8295,07Jul2026,24082.0,0.0,0.0,135395,0,169910,0,125.49,0.0,0.0,1468.0,OTM CE / ITM PE,0.0,1468.0,0.95,92.0
25600,0.85,1702675,8057660,-0.5,-37.04,1619.0,0,0,0.0,0.0,31.8,31.8,0.0663,0.000133,-10.71,-6.13,3.9124,-0.9337,0.000133,-10.71,-3.78,3.9124,07Jul2026,24082.0,0.0,0.0,1175915,0,526760,0,44.8,0.0,0.0,1518.0,OTM CE / ITM PE,0.0,1518.0,0.85,101.0
25650,0.85,268515,1159015,-0.45,-34.62,1670.0,0,0,0.0,0.0,32.61,32.61,0.0652,0.000128,-10.84,-6.19,3.8606,-0.9348,0.000128,-10.84,-3.84,3.8606,07Jul2026,24082.0,0.0,0.0,255840,0,12675,0,4.95,0.0,0.0,1568.0,OTM CE / ITM PE,0.0,1568.0,0.85,102.0
25700,0.7,1280370,4243720,-0.45,-39.13,1697.75,0,0,21.4,1.28,31.45,31.45,0.0527,0.000113,-8.85,-5.03,3.2689,-0.9473,0.000113,-8.85,-2.67,3.2689,07Jul2026,24082.0,0.0,0.0,1301235,0,-20865,0,-1.6,0.0,-0.0,1618.0,OTM CE / ITM PE,0.0,1618.0,0.7,79.75
25800,0.7,1898390,7819110,-0.3,-30.0,1760.0,2990,65,-40.0,-2.22,29.34,29.34,0.0327,8.2e-05,-5.6,-3.15,2.2172,-0.9673,8.2e-05,-5.6,-0.78,2.2172,07Jul2026,24082.0,0.0,0.0,1906385,2990,-7995,0,-0.42,0.0,-0.0,1718.0,OTM CE / ITM PE,0.0,1718.0,0.7,42.0
25850,0.7,133835,499525,-0.25,-26.32,1887.9,0,0,0.0,0.0,36.63,36.63,0.0655,0.000115,-12.22,-6.94,3.8759,-0.9345,0.000115,-12.22,-4.57,3.8759,07Jul2026,24082.0,0.0,0.0,133835,0,0,0,0.0,0.0,0.0,1768.0,OTM CE / ITM PE,0.0,1768.0,0.7,119.9
26000,0.65,3450070,9231885,-0.25,-27.78,1970.15,80535,6955,-75.25,-3.68,32.98,32.98,0.0343,7.6e-05,-6.56,-3.66,2.3094,-0.9657,7.6e-05,-6.56,-1.28,2.3094,07Jul2026,24082.0,0.02,0.0,3584880,80210,-134810,325,-3.76,0.41,-0.0,1918.0,OTM CE / ITM PE,0.0,1918.0,0.65,52.15
26200,0.6,415285,1168635,-0.15,-20.0,2239.7,0,0,0.0,0.0,41.59,41.59,0.057,9.1e-05,-12.45,-6.99,3.4773,-0.943,9.1e-05,-12.45,-4.59,3.4773,07Jul2026,24082.0,0.0,0.0,356850,0,58435,0,16.38,0.0,0.0,2118.0,OTM CE / ITM PE,0.0,2118.0,0.6,121.7
26300,0.55,864110,2058160,-0.2,-26.67,2315.0,0,0,1.65,0.07,40.92,40.92,0.0464,7.8e-05,-10.39,-5.8,2.9507,-0.9536,7.8e-05,-10.39,-3.38,2.9507,07Jul2026,24082.0,0.0,0.0,482170,0,381940,0,79.21,0.0,0.0,2218.0,OTM CE / ITM PE,0.0,2218.0,0.55,97.0
