Time,Spot,Overall OI PCR,Overall Vol PCR,Max Pain
2026-06-20 04:39:00.609827,24032.0,2.66,0.0,24000
2026-06-20 04:39:00.989990,24032.0,2.77,0.0,24000
2026-06-20 04:39:01.391998,24032.0,2.47,0.0,24000
2026-06-20 04:39:01.790842,24032.0,2.49,0.0,24000
2026-06-20 04:39:02.155166,24032.0,2.54,0.0,24000
2026-06-20 04:39:02.521829,24032.0,2.03,0.0,24000
2026-06-20 04:39:02.871789,24032.0,2.04,0.0,24000
2026-06-20 04:39:03.253248,24032.0,1.87,0.0,24000
2026-06-20 04:39:03.621866,24032.0,1.61,0.0,24000
2026-06-20 04:39:04.069006,24032.0,1.62,0.0,24000
2026-06-20 04:39:04.525390,24032.0,1.63,0.0,24000
2026-06-20 04:39:04.978596,24032.0,1.52,0.0,24000
2026-06-20 04:39:05.375269,24032.0,1.52,0.0,24000
2026-06-20 04:39:05.759078,24032.0,1.39,0.0,24000
2026-06-20 04:39:06.171822,24032.0,1.33,0.0,24000
2026-06-20 04:39:06.567361,24032.0,1.33,0.0,24000
2026-06-20 04:39:07.262211,24032.0,1.15,0.0,24000
2026-06-20 04:39:07.677498,24032.0,1.1,0.0,24000
2026-06-20 04:39:08.062525,24032.0,1.1,0.0,24000
2026-06-20 04:39:08.493360,24032.0,1.11,0.0,24000
2026-06-20 04:39:08.877399,24032.0,1.04,0.0,24000
2026-06-20 04:39:09.249080,24032.0,1.01,0.0,24000
2026-06-20 04:39:09.654200,24032.0,1.02,0.0,24000
2026-06-20 04:39:10.077230,24032.0,0.95,0.0,24000
2026-06-20 04:39:10.485541,24032.0,0.95,0.0,24000
2026-06-20 04:39:10.874735,24032.0,0.93,0.0,24000
2026-06-20 04:39:11.348835,24032.0,0.93,0.0,24000
2026-06-20 04:39:11.773117,24032.0,0.88,0.0,24000
2026-06-20 04:39:12.163176,24032.0,0.88,0.0,24000
2026-06-20 04:39:12.601474,24032.0,0.88,0.0,24000
2026-06-20 04:39:12.994599,24032.0,0.87,0.0,24000
2026-06-20 04:39:13.416946,24032.0,0.84,0.0,24000
2026-06-20 04:39:13.849810,24032.0,0.84,0.0,24000
2026-06-20 04:39:14.294951,24032.0,0.84,0.0,24000
2026-06-20 04:39:14.854979,24032.0,0.83,0.0,24000
2026-06-20 04:39:15.268230,24032.0,0.75,0.0,24000
2026-06-20 04:39:15.676504,24032.0,0.75,0.0,24000
2026-06-20 04:39:16.114950,24032.0,0.75,0.0,24000
2026-06-20 04:39:16.601664,24032.0,0.74,0.0,24000
2026-06-20 04:48:34.553850,24032.0,0.0,0.0,23050
2026-06-20 04:48:34.926565,24032.0,38.47,0.0,23050
2026-06-20 04:48:35.298721,24032.0,5.74,0.0,23050
2026-06-20 04:48:35.688672,24032.0,27.99,0.0,23100
2026-06-20 04:48:36.002564,24032.0,19.19,0.0,23100
2026-06-20 04:48:36.364108,24032.0,26.46,0.0,23150
2026-06-20 04:48:36.701362,24032.0,7.19,0.0,23150
2026-06-20 04:48:37.077867,24032.0,14.4,0.0,23200
2026-06-20 04:48:37.405214,24032.0,17.18,0.0,23250
2026-06-20 04:48:37.759587,24032.0,15.33,0.0,23250
2026-06-20 04:48:38.088383,24032.0,9.98,0.0,23250
2026-06-20 04:48:38.412765,24032.0,15.0,0.0,23300
2026-06-20 04:48:38.741195,24032.0,13.98,0.0,23300
2026-06-20 04:48:39.072126,24032.0,15.35,0.0,23350
2026-06-20 04:48:39.425730,24032.0,8.98,0.0,23350
2026-06-20 04:48:39.768574,24032.0,11.61,0.0,23400
2026-06-20 04:48:40.149172,24032.0,11.26,0.0,23400
2026-06-20 04:48:40.466158,24032.0,12.39,0.0,23450
2026-06-20 04:48:40.842394,24032.0,17.85,0.0,23500
2026-06-20 04:48:41.195416,24032.0,13.35,0.0,23500
2026-06-20 04:48:41.563320,24032.0,14.21,0.0,23500
2026-06-20 04:48:41.965870,24032.0,13.9,0.0,23500
2026-06-20 04:48:42.292618,24032.0,10.59,0.0,23500
2026-06-20 04:48:42.656021,24032.0,12.23,0.0,23600
2026-06-20 04:48:43.028044,24032.0,11.91,0.0,23600
2026-06-20 04:48:43.407202,24032.0,12.66,0.0,23600
2026-06-20 04:48:43.780492,24032.0,14.29,0.0,23700
2026-06-20 04:48:44.177835,24032.0,12.65,0.0,23700
2026-06-20 04:48:44.529095,24032.0,12.16,0.0,23700
2026-06-20 04:48:44.859196,24032.0,12.84,0.0,23700
2026-06-20 04:48:45.242921,24032.0,10.63,0.0,23700
2026-06-20 04:48:45.648921,24032.0,11.75,0.0,23800
2026-06-20 04:48:46.029105,24032.0,12.4,0.0,23800
2026-06-20 04:48:46.412319,24032.0,11.25,0.0,23800
2026-06-20 04:48:46.806038,24032.0,7.91,0.0,23800
2026-06-20 04:48:47.362118,24032.0,8.72,0.0,23900
2026-06-20 04:48:47.725058,24032.0,9.29,0.0,23900
2026-06-20 04:48:48.112863,24032.0,6.94,0.0,23900
2026-06-20 04:48:48.532761,24032.0,3.56,0.0,23900
2026-06-20 04:48:48.879572,24032.0,4.07,0.0,23950
2026-06-20 04:48:49.277579,24032.0,4.18,0.0,24000
2026-06-20 04:48:49.656578,24032.0,3.44,0.0,24000
